"Reviewer","ASIN","Rating","Months","URL","Brand_name"
"AKM1MP6P0OYPR","0132793040",5,6,"https://www.amazon.co.uk/dp/0132793040/","FRUYZ9646H"
"A2CX7LUOHB2NDG","0321732944",5,28,"https://www.amazon.co.uk/dp/0321732944/","XXSKO4415Q"
"A2NWSAGRHCP8N5","0439886341",1,20,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A2WNBOD3WNDNKT","0439886341",3,1,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A1GI0U4ZRJA8WN","0439886341",1,19,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A1QGNMC6O1VW39","0511189877",5,10,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A3J3BRHTDRFJ2G","0511189877",2,14,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A2TY0BTJOTENPG","0511189877",5,22,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A34ATBPOK6HCHY","0511189877",5,26,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A89DO69P0XZ27","0511189877",5,29,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"AZYNQZ94U6VDB","0511189877",5,25,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A1DA3W4GTFXP6O","0528881469",5,2,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A29LPQQDG7LD5J","0528881469",1,11,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AO94DHGC771SJ","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AMO214LNFCEI4","0528881469",1,28,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A28B1G1MSJ6OO1","0528881469",4,5,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3N7T0DY83Y4IG","0528881469",3,16,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1H8PY3QHMQQA0","0528881469",2,14,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2CPBQ5W4OGBX","0528881469",2,6,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A265MKAR2WEH3Y","0528881469",4,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A37K02NKUIT68K","0528881469",5,13,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AW1SSVUIYV9Y","0528881469",4,29,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AEHUKOV014BP","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AMLFNXUIEMN4T","0528881469",1,9,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2O8FIJR9EBU56","0528881469",4,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3IQGFB959IR4P","0528881469",1,16,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AYTBGUX49LF3W","0528881469",4,10,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A24QFSUU00IZ05","0528881469",2,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1NG5X8VYZWX0Q","0528881469",1,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1E4WG8HRWWK4R","0528881469",5,24,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AOEW5UGXFOOQ","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2XSWV6AQI90BR","0528881469",1,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AR84FMFYCQCWF","0528881469",1,29,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A19TBA1WARJS55","0528881469",2,11,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3C5SMBSKKWNPT","0528881469",5,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A24EV6RXELQZ63","0528881469",1,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3T6ZQONABIJSG","0528881469",1,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A132P6YSJSI5G2","0528881469",2,28,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1NQPG5IJ43HJI","0558835155",3,8,"https://www.amazon.co.uk/dp/0558835155/","GUZPE0846R"
"A2WOJCFAWI8VS8","059400232X",5,10,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"A22FB2WSZSXSHH","059400232X",5,1,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"AZQZ3STMCBG5H","059400232X",5,10,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"A2EGPA22UHMQXL","0594012015",1,26,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"AC57CU3TF6ZMJ","0594012015",5,24,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
